"","listener","Age","Group","Group2","CondCode","uRevs","TempRmv","z","material"
"1","TD01",11.9,"TD","TD_0","Diff_QNoAlt",0.07,0,-0.0244675062737897,"ASL"
"2","TD02",10.6,"TD","TD_1","Diff_QNoAlt",0.003,0,-0.742592686558508,"ASL"
"3","TD03",12.1,"TD","TD_1","Diff_QNoAlt",0.17,0,1.01190005992416,"ASL"
"4","TD05",7.8,"TD","TD_0","Diff_QNoAlt",0.00933333333333397,0,-0.734268163925426,"ASL"
"5","TD06",10.6,"TD","TD_1","Diff_QNoAlt",0.248666666666666,0,1.79340535117816,"ASL"
"6","TD07",8.5,"TD","TD_1","Diff_QNoAlt",0.086666666666666,0,0.0783013640786488,"ASL"
"7","TD09",8.2,"TD","TD_0","Diff_QNoAlt",0.176333333333333,0,0.997810515640164,"ASL"
"8","TD10",7.7,"TD","TD_0","Diff_QNoAlt",-0.019666666666666,0,-1.03567056795057,"ASL"
"9","TD12",8.5,"TD","TD_1","Diff_QNoAlt",0.010333333333334,0,-0.709681743983342,"ASL"
"10","TD13",7.4,"TD","TD_0","Diff_QNoAlt",0.072,0,-0.0955155707629897,"ASL"
"11","TD14",7.9,"TD","TD_1","Diff_QNoAlt",0.151666666666666,0,0.73706549224417,"ASL"
"12","TD15",7,"TD","TD_0","Diff_QNoAlt",0.168,0,0.887334449500765,"ASL"
"13","TD16",10,"TD","TD_0","Diff_QNoAlt",-0.010333333333333,0,-0.892457512081066,"ASL"
"14","TD17",11.9,"TD","TD_0","Diff_QNoAlt",-0.061666666666667,0,-1.38365234332398,"ASL"
"15","TD18",9.2,"TD","TD_0","Diff_QNoAlt",0.052,0,-0.265296462977666,"ASL"
"16","TD19",10.1,"TD","TD_0","Diff_QNoAlt",0.130333333333334,0,0.56167127273348,"ASL"
"17","TD20",9.7,"TD","TD_0","Diff_QNoAlt",-0.00633333333333302,0,-0.857278748169928,"ASL"
"18","TD21",10,"TD","TD_0","Diff_QNoAlt",-0.031333333333333,0,-1.10923889115489,"ASL"
"19","TD22",8.9,"TD","TD_0","Diff_QNoAlt",0.12,0,0.430549360967993,"ASL"
"20","TD23",11.1,"TD","TD_0","Diff_QNoAlt",0.00966666666666599,0,-0.663584988903222,"ASL"
"21","TD01",11.9,"TD","TD_0","Diff_AMSSN",0.075,0,0.967053355340266,"ASL"
"22","TD02",10.6,"TD","TD_1","Diff_AMSSN",0.09,0,1.15600806715775,"ASL"
"23","TD03",12.1,"TD","TD_1","Diff_AMSSN",-0.081333333333334,0,-0.862631644693231,"ASL"
"24","TD05",7.8,"TD","TD_0","Diff_AMSSN",0.075,0,1.00994353820636,"ASL"
"25","TD06",10.6,"TD","TD_1","Diff_AMSSN",-0.162,0,-1.78996240996246,"ASL"
"26","TD07",8.5,"TD","TD_1","Diff_AMSSN",0.046,0,0.663600412008938,"ASL"
"27","TD08",10.7,"TD","TD_1","Diff_AMSSN",-0.112666666666667,0,-1.21428413286482,"ASL"
"28","TD09",8.2,"TD","TD_0","Diff_AMSSN",-0.074333333333333,0,-0.740001152616041,"ASL"
"29","TD10",7.7,"TD","TD_0","Diff_AMSSN",0.039666666666666,0,0.597930287615378,"ASL"
"30","TD12",8.5,"TD","TD_1","Diff_AMSSN",-0.038333333333334,0,-0.322286533376537,"ASL"
"31","TD13",7.4,"TD","TD_0","Diff_AMSSN",-0.030333333333333,0,-0.21725653885463,"ASL"
"32","TD14",7.9,"TD","TD_1","Diff_AMSSN",-0.075333333333333,0,-0.748553205588859,"ASL"
"33","TD15",7,"TD","TD_0","Diff_AMSSN",-0.031333333333333,0,-0.224762489806324,"ASL"
"34","TD16",10,"TD","TD_0","Diff_AMSSN",0.07,0,0.928477498560667,"ASL"
"35","TD17",11.9,"TD","TD_0","Diff_AMSSN",-0.05,0,-0.494241524183648,"ASL"
"36","TD18",9.2,"TD","TD_0","Diff_AMSSN",0.036666666666666,0,0.547167680189943,"ASL"
"37","TD19",10.1,"TD","TD_0","Diff_AMSSN",-0.094,0,-0.989787485395831,"ASL"
"38","TD20",9.7,"TD","TD_0","Diff_AMSSN",0.00833333333333303,0,0.210710330725572,"ASL"
"39","TD21",10,"TD","TD_0","Diff_AMSSN",0.131333333333333,0,1.64548618611373,"ASL"
"40","TD22",8.9,"TD","TD_0","Diff_AMSSN",-0.121,0,-1.29287395511951,"ASL"
"41","TD23",11.1,"TD","TD_0","Diff_AMSSN",0.091666666666667,0,1.17026148877912,"ASL"
"42","TD01",11.9,"TD","TD_0","Diff_MDR",0.3425,0,1.33000894409538,"ASL"
"43","TD02",10.6,"TD","TD_1","Diff_MDR",0.2565,0,0.275893709528996,"ASL"
"44","TD03",12.1,"TD","TD_1","Diff_MDR",0.175666666666666,0,0.0397254623518805,"ASL"
"45","TD04",10.6,"TD","TD_1","Diff_MDR",0.294666666666667,0,0.583758337694309,"ASL"
"46","TD05",7.8,"TD","TD_0","Diff_MDR",0.484666666666666,0,1.34008855371803,"ASL"
"47","TD06",10.6,"TD","TD_1","Diff_MDR",0.061333333333334,0,-1.29838349388401,"ASL"
"48","TD07",8.5,"TD","TD_1","Diff_MDR",0.247666666666667,0,-0.377562044933996,"ASL"
"49","TD08",10.7,"TD","TD_1","Diff_MDR",0.00166666666666704,0,-1.75195008404153,"ASL"
"50","TD09",8.2,"TD","TD_0","Diff_MDR",0.257333333333334,0,-0.382759489378253,"ASL"
"51","TD10",7.7,"TD","TD_0","Diff_MDR",0.545666666666666,0,1.80441024005601,"ASL"
"52","TD12",8.5,"TD","TD_1","Diff_MDR",0.372,0,0.625350673892733,"ASL"
"53","TD13",7.4,"TD","TD_0","Diff_MDR",0.304666666666667,0,-0.22274528631238,"ASL"
"54","TD14",7.9,"TD","TD_1","Diff_MDR",0.281,0,-0.275028423927819,"ASL"
"55","TD15",7,"TD","TD_0","Diff_MDR",0.272,0,-0.597140998403353,"ASL"
"56","TD16",10,"TD","TD_0","Diff_MDR",0.267,0,0.194246308445012,"ASL"
"57","TD17",11.9,"TD","TD_0","Diff_MDR",0.234,0,0.454812992411462,"ASL"
"58","TD18",9.2,"TD","TD_0","Diff_MDR",0.197,0,-0.592187952368495,"ASL"
"59","TD19",10.1,"TD","TD_0","Diff_MDR",0.0216666666666661,0,-1.75696742483984,"ASL"
"60","TD20",9.7,"TD","TD_0","Diff_MDR",0.216333333333333,0,-0.297619238164501,"ASL"
"61","TD21",10,"TD","TD_0","Diff_MDR",0.4205,0,1.43242675621903,"ASL"
"62","TD22",8.9,"TD","TD_0","Diff_MDR",0.165666666666667,0,-0.928104604361513,"ASL"
"63","TD23",11.1,"TD","TD_0","Diff_MDR",0.254666666666667,0,0.399725271868391,"ASL"
"64","TD01",11.9,"TD","TD_0","Diff_ENG",0.2665,0,0.131376286074999,"ASL"
"65","TD02",10.6,"TD","TD_1","Diff_ENG",0.1045,0,-1.28670352004983,"ASL"
"66","TD03",12.1,"TD","TD_1","Diff_ENG",0.345666666666666,0,0.743742997984367,"ASL"
"67","TD04",10.6,"TD","TD_1","Diff_ENG",0.248666666666667,0,-0.239011340700983,"ASL"
"68","TD05",7.8,"TD","TD_0","Diff_ENG",0.4705,0,0.854480453704335,"ASL"
"69","TD06",10.6,"TD","TD_1","Diff_ENG",0.185,0,-0.70169158637874,"ASL"
"70","TD07",8.5,"TD","TD_1","Diff_ENG",0.432,0,0.704347596720051,"ASL"
"71","TD08",10.7,"TD","TD_1","Diff_ENG",0.082333333333333,0,-1.4292715542093,"ASL"
"72","TD09",8.2,"TD","TD_0","Diff_ENG",0.153666666666667,0,-1.37393109741744,"ASL"
"73","TD10",7.7,"TD","TD_0","Diff_ENG",0.562333333333333,0,1.50333210747978,"ASL"
"74","TD12",8.5,"TD","TD_1","Diff_ENG",0.342333333333333,0,0.0527193973100171,"ASL"
"75","TD13",7.4,"TD","TD_0","Diff_ENG",0.362,0,-0.00810272546088135,"ASL"
"76","TD14",7.9,"TD","TD_1","Diff_ENG",0.344,0,-0.0463018050474774,"ASL"
"77","TD15",7,"TD","TD_0","Diff_ENG",0.299333333333334,0,-0.537604575931373,"ASL"
"78","TD16",10,"TD","TD_0","Diff_ENG",0.050333333333333,0,-1.79147834099908,"ASL"
"79","TD17",11.9,"TD","TD_0","Diff_ENG",0.397,0,1.07974966923123,"ASL"
"80","TD18",9.2,"TD","TD_0","Diff_ENG",0.267,0,-0.365089727461657,"ASL"
"81","TD19",10.1,"TD","TD_0","Diff_ENG",0.205,0,-0.648958048812737,"ASL"
"82","TD20",9.7,"TD","TD_0","Diff_ENG",0.393333333333333,0,0.645614577132204,"ASL"
"83","TD21",10,"TD","TD_0","Diff_ENG",0.559166666666667,0,1.90633000992812,"ASL"
"84","TD22",8.9,"TD","TD_0","Diff_ENG",0.336,0,0.0807824474910126,"ASL"
"85","TD23",11.1,"TD","TD_0","Diff_ENG",0.368666666666667,0,0.725667180291429,"ASL"
"86","TD01",11.9,"TD","TD_0","Diff_QNoAlt",-0.0395,0,-0.537701016119794,"CCRM"
"87","TD02",10.6,"TD","TD_1","Diff_QNoAlt",0.0175,0,-0.352849153529233,"CCRM"
"88","TD03",12.1,"TD","TD_1","Diff_QNoAlt",-0.011666666666667,0,-0.148171661725834,"CCRM"
"89","TD04",10.6,"TD","TD_1","Diff_QNoAlt",0.072833333333333,0,0.279007354465329,"CCRM"
"90","TD05",7.8,"TD","TD_0","Diff_QNoAlt",0.153333333333334,0,0.194473528650646,"CCRM"
"91","TD06",10.6,"TD","TD_1","Diff_QNoAlt",0.165,0,1.33146714037194,"CCRM"
"92","TD07",8.5,"TD","TD_1","Diff_QNoAlt",0.098333333333334,0,-0.182633901335027,"CCRM"
"93","TD08",10.7,"TD","TD_1","Diff_QNoAlt",0.192833333333333,0,1.68514753569406,"CCRM"
"94","TD09",8.2,"TD","TD_0","Diff_QNoAlt",0.033666666666666,0,-1.0286154927129,"CCRM"
"95","TD10",7.7,"TD","TD_0","Diff_QNoAlt",0.203333333333333,0,0.729579245477495,"CCRM"
"96","TD11",7.3,"TD","TD_0","Diff_QNoAlt",0.268333333333333,0,1.32842448785844,"CCRM"
"97","TD13",7.4,"TD","TD_0","Diff_QNoAlt",0.223333333333333,0,0.850414238621447,"CCRM"
"98","TD14",7.9,"TD","TD_1","Diff_QNoAlt",0.036333333333333,0,-1.10571145388049,"CCRM"
"99","TD16",10,"TD","TD_0","Diff_QNoAlt",-0.094666666666667,0,-1.84878456422639,"CCRM"
"100","TD17",11.9,"TD","TD_0","Diff_QNoAlt",0.0505,0,0.490017400497872,"CCRM"
"101","TD18",9.2,"TD","TD_0","Diff_QNoAlt",0.166666666666667,0,0.8486135358961,"CCRM"
"102","TD19",10.1,"TD","TD_0","Diff_QNoAlt",-0.010166666666667,0,-0.848022202885735,"CCRM"
"103","TD20",9.7,"TD","TD_0","Diff_QNoAlt",0.0025,0,-0.846776187945433,"CCRM"
"104","TD21",10,"TD","TD_0","Diff_QNoAlt",0.037,0,-0.345270584359798,"CCRM"
"105","TD22",8.9,"TD","TD_0","Diff_QNoAlt",-0.016666666666667,0,-1.35243381961468,"CCRM"
"106","TD23",11.1,"TD","TD_0","Diff_QNoAlt",0.108,0,0.859823605206636,"CCRM"
"107","TD01",11.9,"TD","TD_0","Diff_AMSSN",0.0655,0,0.143904914162294,"CCRM"
"108","TD02",10.6,"TD","TD_1","Diff_AMSSN",0.0825,0,0.577848363378833,"CCRM"
"109","TD03",12.1,"TD","TD_1","Diff_AMSSN",0.033666666666667,0,-0.215135724242953,"CCRM"
"110","TD04",10.6,"TD","TD_1","Diff_AMSSN",0.048,0,0.232729552508767,"CCRM"
"111","TD05",7.8,"TD","TD_0","Diff_AMSSN",-0.034166666666667,0,-0.0208525920665263,"CCRM"
"112","TD06",10.6,"TD","TD_1","Diff_AMSSN",-0.073,0,-0.9776871464848,"CCRM"
"113","TD07",8.5,"TD","TD_1","Diff_AMSSN",0.066666666666666,0,0.845736118650504,"CCRM"
"114","TD08",10.7,"TD","TD_1","Diff_AMSSN",-0.1575,0,-1.843276985847,"CCRM"
"115","TD09",8.2,"TD","TD_0","Diff_AMSSN",0.046666666666667,0,0.706563759259925,"CCRM"
"116","TD10",7.7,"TD","TD_0","Diff_AMSSN",-0.114166666666666,0,-0.800829256707965,"CCRM"
"117","TD11",7.3,"TD","TD_0","Diff_AMSSN",-0.18,0,-1.37819395113439,"CCRM"
"118","TD13",7.4,"TD","TD_0","Diff_AMSSN",-0.174333333333333,0,-1.34180660846419,"CCRM"
"119","TD14",7.9,"TD","TD_1","Diff_AMSSN",-0.043333333333333,0,-0.132849665664132,"CCRM"
"120","TD15",7,"TD","TD_0","Diff_AMSSN",0.087666666666667,0,1.36029102069114,"CCRM"
"121","TD16",10,"TD","TD_0","Diff_AMSSN",0.113333333333333,0,1.00808091329223,"CCRM"
"122","TD17",11.9,"TD","TD_0","Diff_AMSSN",0.022,0,-0.29124489084779,"CCRM"
"123","TD18",9.2,"TD","TD_0","Diff_AMSSN",-0.116666666666667,0,-1.1303204485719,"CCRM"
"124","TD19",10.1,"TD","TD_0","Diff_AMSSN",0.126,0,1.11449236251578,"CCRM"
"125","TD20",9.7,"TD","TD_0","Diff_AMSSN",0.174,0,1.67585301989736,"CCRM"
"126","TD21",10,"TD","TD_0","Diff_AMSSN",0.0975,0,0.849693053231096,"CCRM"
"127","TD22",8.9,"TD","TD_0","Diff_AMSSN",0.023166666666667,0,0.32939095833894,"CCRM"
"128","TD23",11.1,"TD","TD_0","Diff_AMSSN",-0.036333333333333,0,-0.712388401522698,"CCRM"
"129","TD01",11.9,"TD","TD_0","Diff_MDR",0.2905,0,0.5709059263247,"CCRM"
"130","TD02",10.6,"TD","TD_1","Diff_MDR",0.145,0,-0.436923773455783,"CCRM"
"131","TD03",12.1,"TD","TD_1","Diff_MDR",0.321666666666667,0,0.784193276029023,"CCRM"
"132","TD04",10.6,"TD","TD_1","Diff_MDR",0.1985,0,-0.082147944175403,"CCRM"
"133","TD05",7.8,"TD","TD_0","Diff_MDR",0.098333333333333,0,-0.838940785024909,"CCRM"
"134","TD06",10.6,"TD","TD_1","Diff_MDR",0.08,0,-0.867959827721666,"CCRM"
"135","TD07",8.5,"TD","TD_1","Diff_MDR",0.188666666666666,0,-0.216772384405715,"CCRM"
"136","TD08",10.7,"TD","TD_1","Diff_MDR",-0.065833333333333,0,-1.83172235429645,"CCRM"
"137","TD09",8.2,"TD","TD_0","Diff_MDR",0.357666666666667,0,0.894004725004952,"CCRM"
"138","TD10",7.7,"TD","TD_0","Diff_MDR",0.301333333333334,0,0.503912425173464,"CCRM"
"139","TD11",7.3,"TD","TD_0","Diff_MDR",0.035,0,-1.27545235223888,"CCRM"
"140","TD13",7.4,"TD","TD_0","Diff_MDR",-0.011333333333333,0,-1.57939814959127,"CCRM"
"141","TD15",7,"TD","TD_0","Diff_MDR",0.485333333333333,0,1.70093721768668,"CCRM"
"142","TD16",10,"TD","TD_0","Diff_MDR",0.166666666666667,0,-0.313078352061757,"CCRM"
"143","TD17",11.9,"TD","TD_0","Diff_MDR",0.251666666666667,0,0.313389514417136,"CCRM"
"144","TD18",9.2,"TD","TD_0","Diff_MDR",0.183833333333333,0,-0.225684976057849,"CCRM"
"145","TD19",10.1,"TD","TD_0","Diff_MDR",0.166833333333333,0,-0.308667587516252,"CCRM"
